,generated,actual
0,[seller_pos_sentiment] [-3671] [1608] [-5793] [5387] [7374] [first_person_singular_count_seller] [-3672] [1607] [-5802] [5395] [7385] [number_of_diff_dic_pos] [-3666] [1604] [-5774] [5370] [7353] [number_of_diff_dic_neg] [-3688] [1633] [-5776] [5376] [7355] [politeness_seller_gratitude] [-3693] [1631] [-5792] [5398] [7378],<sos_ns> [seller_pos_sentiment] [-3671] [1608] [-5793] [5387] [7374] [first_person_singular_count_seller] [-3672] [1607] [-5802] [5395] [7385] [number_of_diff_dic_pos] [-3666] [1604] [-5774] [5370] [7353] [personal_concern_seller] [-3668] [1606] [-5797] [5388] [7377] <eos_ns>
1,[seller_pos_sentiment] [-3671] [1608] [-5793] [5387] [7374] [third_person_singular_seller] [-3673] [1610] [-5781] [5380] [7361] [number_of_diff_dic_pos] [-3666] [1604] [-5774] [5370] [7353] [number_of_diff_dic_neg] [-3688] [1633] [-5776] [5376] [7355] [personal_concern_seller] [-3668] [1606] [-5797] [5388] [7377],<sos_ns> [first_person_plural_count_seller] [-3675] [1609] [-5803] [5398] [7388] [first_person_singular_count_seller] [-3672] [1607] [-5802] [5395] [7385] [number_of_diff_dic_pos] [-3666] [1604] [-5774] [5370] [7353] [personal_concern_seller] [-3668] [1606] [-5797] [5388] [7377] <eos_ns>
2,[seller_pos_sentiment] [-3671] [1608] [-5793] [5387] [7374] [first_person_singular_count_seller] [-3672] [1607] [-5802] [5395] [7385] [third_person_singular_seller] [-3673] [1610] [-5781] [5380] [7361] [number_of_diff_dic_pos] [-3666] [1604] [-5774] [5370] [7353] [number_of_diff_dic_neg] [-3688] [1633] [-5776] [5376] [7355] [seller_propose] [-3680] [1617] [-5799] [5395] [7382] [hedge_count_seller] [-3685] [1624] [-5776] [5377] [7357] [personal_concern_seller] [-3668] [1606] [-5797] [5388] [7377],<sos_ns> [seller_pos_sentiment] [-3671] [1608] [-5793] [5387] [7374] [first_person_plural_count_seller] [-3675] [1609] [-5803] [5398] [7388] [number_of_diff_dic_pos] [-3666] [1604] [-5774] [5370] [7353] [number_of_diff_dic_neg] [-3688] [1633] [-5776] [5376] [7355] [personal_concern_seller] [-3668] [1606] [-5797] [5388] [7377] [liwc_certainty] [-3677] [1616] [-5790] [5387] [7371] <eos_ns>
3,,<sos_ns> [] [] <eos_ns>
4,[number_of_diff_dic_pos] [-3666] [1604] [-5774] [5370] [7353] [politeness_seller_greet] [-3676] [1611] [-5808] [5402] [7392],<sos_ns> [number_of_diff_dic_pos] [-3666] [1604] [-5774] [5370] [7353] [politeness_seller_greet] [-3676] [1611] [-5808] [5402] [7392] <eos_ns>
5,[seller_pos_sentiment] [-3671] [1608] [-5793] [5387] [7374] [first_person_singular_count_seller] [-3672] [1607] [-5802] [5395] [7385] [third_person_singular_seller] [-3673] [1610] [-5781] [5380] [7361] [number_of_diff_dic_pos] [-3666] [1604] [-5774] [5370] [7353] [number_of_diff_dic_neg] [-3688] [1633] [-5776] [5376] [7355] [personal_concern_seller] [-3668] [1606] [-5797] [5388] [7377],<sos_ns> [seller_pos_sentiment] [-3671] [1608] [-5793] [5387] [7374] [first_person_singular_count_seller] [-3672] [1607] [-5802] [5395] [7385] [number_of_diff_dic_pos] [-3666] [1604] [-5774] [5370] [7353] [number_of_diff_dic_neg] [-3688] [1633] [-5776] [5376] [7355] [personal_concern_seller] [-3668] [1606] [-5797] [5388] [7377] <eos_ns>
6,[seller_pos_sentiment] [-3671] [1608] [-5793] [5387] [7374] [third_person_singular_seller] [-3673] [1610] [-5781] [5380] [7361] [number_of_diff_dic_pos] [-3666] [1604] [-5774] [5370] [7353] [number_of_diff_dic_neg] [-3688] [1633] [-5776] [5376] [7355] [personal_concern_seller] [-3668] [1606] [-5797] [5388] [7377],<sos_ns> [liwc_certainty] [-3677] [1616] [-5790] [5387] [7371] <eos_ns>
7,[seller_pos_sentiment] [-3671] [1608] [-5793] [5387] [7374] [third_person_singular_seller] [-3673] [1610] [-5781] [5380] [7361] [number_of_diff_dic_pos] [-3666] [1604] [-5774] [5370] [7353] [number_of_diff_dic_neg] [-3688] [1633] [-5776] [5376] [7355] [personal_concern_seller] [-3668] [1606] [-5797] [5388] [7377],<sos_ns> [seller_pos_sentiment] [-3671] [1608] [-5793] [5387] [7374] [number_of_diff_dic_pos] [-3666] [1604] [-5774] [5370] [7353] [number_of_diff_dic_neg] [-3688] [1633] [-5776] [5376] [7355] [personal_concern_seller] [-3668] [1606] [-5797] [5388] [7377] <eos_ns>
8,[seller_pos_sentiment] [-3671] [1608] [-5793] [5387] [7374] [first_person_singular_count_seller] [-3672] [1607] [-5802] [5395] [7385] [third_person_singular_seller] [-3673] [1610] [-5781] [5380] [7361] [number_of_diff_dic_pos] [-3666] [1604] [-5774] [5370] [7353] [number_of_diff_dic_neg] [-3688] [1633] [-5776] [5376] [7355] [seller_propose] [-3680] [1617] [-5799] [5395] [7382] [hedge_count_seller] [-3685] [1624] [-5776] [5377] [7357] [personal_concern_seller] [-3668] [1606] [-5797] [5388] [7377],<sos_ns> [seller_pos_sentiment] [-3671] [1608] [-5793] [5387] [7374] [first_person_singular_count_seller] [-3672] [1607] [-5802] [5395] [7385] [number_of_diff_dic_pos] [-3666] [1604] [-5774] [5370] [7353] <eos_ns>
9,,<sos_ns> [seller_pos_sentiment] [-3671] [1608] [-5793] [5387] [7374] [number_of_diff_dic_pos] [-3666] [1604] [-5774] [5370] [7353] [liwc_informal] [-3680] [1619] [-5798] [5396] [7379] [politeness_seller_gratitude] [-3693] [1631] [-5792] [5398] [7378] <eos_ns>
10,[number_of_diff_dic_pos] [-3666] [1604] [-5774] [5370] [7353] [politeness_seller_greet] [-3676] [1611] [-5808] [5402] [7392],<sos_ns> [number_of_diff_dic_pos] [-3666] [1604] [-5774] [5370] [7353] [politeness_seller_greet] [-3676] [1611] [-5808] [5402] [7392] <eos_ns>
11,[seller_pos_sentiment] [-3671] [1608] [-5793] [5387] [7374] [first_person_singular_count_seller] [-3672] [1607] [-5802] [5395] [7385] [third_person_singular_seller] [-3673] [1610] [-5781] [5380] [7361] [number_of_diff_dic_pos] [-3666] [1604] [-5774] [5370] [7353] [number_of_diff_dic_neg] [-3688] [1633] [-5776] [5376] [7355] [personal_concern_seller] [-3668] [1606] [-5797] [5388] [7377],<sos_ns> [seller_pos_sentiment] [-3671] [1608] [-5793] [5387] [7374] [first_person_singular_count_seller] [-3672] [1607] [-5802] [5395] [7385] [third_person_singular_seller] [-3673] [1610] [-5781] [5380] [7361] [number_of_diff_dic_pos] [-3666] [1604] [-5774] [5370] [7353] [hedge_count_seller] [-3685] [1624] [-5776] [5377] [7357] [assertive_count_seller] [-3678] [1618] [-5768] [5368] [7347] <eos_ns>
12,[seller_pos_sentiment] [-3671] [1608] [-5793] [5387] [7374] [third_person_singular_seller] [-3673] [1610] [-5781] [5380] [7361] [number_of_diff_dic_pos] [-3666] [1604] [-5774] [5370] [7353] [number_of_diff_dic_neg] [-3688] [1633] [-5776] [5376] [7355] [personal_concern_seller] [-3668] [1606] [-5797] [5388] [7377],<sos_ns> [seller_pos_sentiment] [-3671] [1608] [-5793] [5387] [7374] [third_person_singular_seller] [-3673] [1610] [-5781] [5380] [7361] [number_of_diff_dic_pos] [-3666] [1604] [-5774] [5370] [7353] [number_of_diff_dic_neg] [-3688] [1633] [-5776] [5376] [7355] [liwc_certainty] [-3677] [1616] [-5790] [5387] [7371] <eos_ns>
13,[seller_pos_sentiment] [-3671] [1608] [-5793] [5387] [7374] [first_person_singular_count_seller] [-3672] [1607] [-5802] [5395] [7385] [third_person_singular_seller] [-3673] [1610] [-5781] [5380] [7361] [number_of_diff_dic_pos] [-3666] [1604] [-5774] [5370] [7353] [number_of_diff_dic_neg] [-3688] [1633] [-5776] [5376] [7355] [seller_propose] [-3680] [1617] [-5799] [5395] [7382] [hedge_count_seller] [-3685] [1624] [-5776] [5377] [7357] [who_propose] [-3670] [1605] [-5796] [5389] [7378] [personal_concern_seller] [-3668] [1606] [-5797] [5388] [7377],<sos_ns> [number_of_diff_dic_pos] [-3666] [1604] [-5774] [5370] [7353] <eos_ns>
14,[seller_pos_sentiment] [-3671] [1608] [-5793] [5387] [7374] [first_person_singular_count_seller] [-3672] [1607] [-5802] [5395] [7385] [third_person_singular_seller] [-3673] [1610] [-5781] [5380] [7361] [number_of_diff_dic_pos] [-3666] [1604] [-5774] [5370] [7353] [number_of_diff_dic_neg] [-3688] [1633] [-5776] [5376] [7355] [hedge_count_seller] [-3685] [1624] [-5776] [5377] [7357] [personal_concern_seller] [-3668] [1606] [-5797] [5388] [7377],<sos_ns> [first_person_singular_count_seller] [-3672] [1607] [-5802] [5395] [7385] [number_of_diff_dic_pos] [-3666] [1604] [-5774] [5370] [7353] [number_of_diff_dic_neg] [-3688] [1633] [-5776] [5376] [7355] <eos_ns>
15,,<sos_ns> [] [] <eos_ns>
16,[seller_pos_sentiment] [-3671] [1608] [-5793] [5387] [7374] [first_person_singular_count_seller] [-3672] [1607] [-5802] [5395] [7385] [third_person_singular_seller] [-3673] [1610] [-5781] [5380] [7361] [number_of_diff_dic_pos] [-3666] [1604] [-5774] [5370] [7353] [number_of_diff_dic_neg] [-3688] [1633] [-5776] [5376] [7355] [personal_concern_seller] [-3668] [1606] [-5797] [5388] [7377] [liwc_certainty] [-3677] [1616] [-5790] [5387] [7371],<sos_ns> [] <eos_ns>
17,[seller_pos_sentiment] [-3671] [1608] [-5793] [5387] [7374] [third_person_singular_seller] [-3673] [1610] [-5781] [5380] [7361] [number_of_diff_dic_pos] [-3666] [1604] [-5774] [5370] [7353] [number_of_diff_dic_neg] [-3688] [1633] [-5776] [5376] [7355] [personal_concern_seller] [-3668] [1606] [-5797] [5388] [7377],<sos_ns> [seller_pos_sentiment] [-3671] [1608] [-5793] [5387] [7374] [first_person_singular_count_seller] [-3672] [1607] [-5802] [5395] [7385] [third_person_singular_seller] [-3673] [1610] [-5781] [5380] [7361] [number_of_diff_dic_pos] [-3666] [1604] [-5774] [5370] [7353] [hedge_count_seller] [-3685] [1624] [-5776] [5377] [7357] [liwc_certainty] [-3677] [1616] [-5790] [5387] [7371] <eos_ns>
18,[seller_pos_sentiment] [-3671] [1608] [-5793] [5387] [7374] [third_person_singular_seller] [-3673] [1610] [-5781] [5380] [7361] [number_of_diff_dic_pos] [-3666] [1604] [-5774] [5370] [7353] [number_of_diff_dic_neg] [-3688] [1633] [-5776] [5376] [7355] [personal_concern_seller] [-3668] [1606] [-5797] [5388] [7377],<sos_ns> [seller_pos_sentiment] [-3671] [1608] [-5793] [5387] [7374] [first_person_singular_count_seller] [-3672] [1607] [-5802] [5395] [7385] [third_person_singular_seller] [-3673] [1610] [-5781] [5380] [7361] [number_of_diff_dic_pos] [-3666] [1604] [-5774] [5370] [7353] [liwc_certainty] [-3677] [1616] [-5790] [5387] [7371] <eos_ns>
19,[seller_neg_sentiment] [-3674] [1610] [-5794] [5390] [7376] [seller_pos_sentiment] [-3671] [1608] [-5793] [5387] [7374] [first_person_singular_count_seller] [-3672] [1607] [-5802] [5395] [7385] [third_person_singular_seller] [-3673] [1610] [-5781] [5380] [7361] [number_of_diff_dic_pos] [-3666] [1604] [-5774] [5370] [7353] [number_of_diff_dic_neg] [-3688] [1633] [-5776] [5376] [7355] [seller_propose] [-3680] [1617] [-5799] [5395] [7382] [hedge_count_seller] [-3685] [1624] [-5776] [5377] [7357] [personal_concern_seller] [-3668] [1606] [-5797] [5388] [7377],<sos_ns> [seller_neg_sentiment] [-3674] [1610] [-5794] [5390] [7376] [first_person_singular_count_seller] [-3672] [1607] [-5802] [5395] [7385] [third_person_singular_seller] [-3673] [1610] [-5781] [5380] [7361] [number_of_diff_dic_pos] [-3666] [1604] [-5774] [5370] [7353] <eos_ns>
20,[seller_pos_sentiment] [-3671] [1608] [-5793] [5387] [7374] [first_person_singular_count_seller] [-3672] [1607] [-5802] [5395] [7385] [number_of_diff_dic_pos] [-3666] [1604] [-5774] [5370] [7353] [number_of_diff_dic_neg] [-3688] [1633] [-5776] [5376] [7355] [hedge_count_seller] [-3685] [1624] [-5776] [5377] [7357] [personal_concern_seller] [-3668] [1606] [-5797] [5388] [7377],<sos_ns> [seller_pos_sentiment] [-3671] [1608] [-5793] [5387] [7374] [first_person_singular_count_seller] [-3672] [1607] [-5802] [5395] [7385] [third_person_singular_seller] [-3673] [1610] [-5781] [5380] [7361] [number_of_diff_dic_pos] [-3666] [1604] [-5774] [5370] [7353] [seller_propose] [-3680] [1617] [-5799] [5395] [7382] [hedge_count_seller] [-3685] [1624] [-5776] [5377] [7357] [assertive_count_seller] [-3678] [1618] [-5768] [5368] [7347] [personal_concern_seller] [-3668] [1606] [-5797] [5388] [7377] [liwc_certainty] [-3677] [1616] [-5790] [5387] [7371] [liwc_informal] [-3680] [1619] [-5798] [5396] [7379] <eos_ns>
21,[number_of_diff_dic_pos] [-3666] [1604] [-5774] [5370] [7353] [politeness_seller_greet] [-3676] [1611] [-5808] [5402] [7392],<sos_ns> [first_person_singular_count_seller] [-3672] [1607] [-5802] [5395] [7385] [number_of_diff_dic_neg] [-3688] [1633] [-5776] [5376] [7355] [politeness_seller_greet] [-3676] [1611] [-5808] [5402] [7392] <eos_ns>
22,[seller_pos_sentiment] [-3671] [1608] [-5793] [5387] [7374] [first_person_singular_count_seller] [-3672] [1607] [-5802] [5395] [7385] [third_person_singular_seller] [-3673] [1610] [-5781] [5380] [7361] [number_of_diff_dic_pos] [-3666] [1604] [-5774] [5370] [7353] [number_of_diff_dic_neg] [-3688] [1633] [-5776] [5376] [7355] [personal_concern_seller] [-3668] [1606] [-5797] [5388] [7377],<sos_ns> [seller_neg_sentiment] [-3674] [1610] [-5794] [5390] [7376] [first_person_singular_count_seller] [-3672] [1607] [-5802] [5395] [7385] [third_person_singular_seller] [-3673] [1610] [-5781] [5380] [7361] [number_of_diff_dic_pos] [-3666] [1604] [-5774] [5370] [7353] [factive_count_seller] [-3681] [1622] [-5767] [5368] [7346] [personal_concern_seller] [-3668] [1606] [-5797] [5388] [7377] <eos_ns>
23,[seller_pos_sentiment] [-3671] [1608] [-5793] [5387] [7374] [third_person_singular_seller] [-3673] [1610] [-5781] [5380] [7361] [number_of_diff_dic_pos] [-3666] [1604] [-5774] [5370] [7353] [number_of_diff_dic_neg] [-3688] [1633] [-5776] [5376] [7355] [personal_concern_seller] [-3668] [1606] [-5797] [5388] [7377],<sos_ns> [seller_pos_sentiment] [-3671] [1608] [-5793] [5387] [7374] [first_person_singular_count_seller] [-3672] [1607] [-5802] [5395] [7385] [third_person_singular_seller] [-3673] [1610] [-5781] [5380] [7361] [number_of_diff_dic_pos] [-3666] [1604] [-5774] [5370] [7353] [number_of_diff_dic_neg] [-3688] [1633] [-5776] [5376] [7355] [personal_concern_seller] [-3668] [1606] [-5797] [5388] [7377] [liwc_certainty] [-3677] [1616] [-5790] [5387] [7371] <eos_ns>
